Name,Quantity,Component
"PIR4",1,"-7.210618579717561 , -77.99548628766945 , -161.237443240914 , -230.92947677654286  PIR Sensor"
"PIR3",1,"-116.43300129685474 , -181.58345398869653 , -176.05927032144518 , -126.40957135379205  PIR Sensor"
"R4",1,"1 kΩ Resistor"
"D1",1,"Red LED"
"R2",1,"220 Ω Resistor"
"Rpot2",1,"250 kΩ Potentiometer"
"U4",1," LCD 16 x 2"
"U3",1," Arduino Uno R3"
